subject_id,ok,error,FA_MAE,FA_RMSE,FA_r,MD_MAE,MD_RMSE,MD_r,AD_MAE,AD_RMSE,AD_r,RD_MAE,RD_RMSE,RD_r,DWI_MAE,DWI_RelMSE,n_eval_voxels,n_sampled_voxels,evaluation_mask,final_loss,best_loss,best_epoch,training_time_sec,n_voxels,epochs
110613,True,,0.15987477307352593,0.22274949831019986,0.33676979685090136,0.0002313803685861757,0.0004078966930765021,0.713779139644908,0.0003315678172903979,0.0004927938039790386,0.6707239155029521,0.00024682403625451185,0.00040430988998039683,0.7140889259552136,440.3896930499838,0.07721089893544666,878568.0,131072.0,brain & WLS_valid,0.8991824444210114,0.6474249405396539,180,159.27611708641052,878568,200
111211,True,,0.17103190066937904,0.23572559843807875,0.3104816581658673,0.0002263006219443193,0.00041982438426570634,0.5695091686257092,0.00032234404806888396,0.0004977433883087363,0.5510233121899415,0.0002533824904374025,0.00042005296122662154,0.5637571452359055,391.3664662140272,0.08254507904089128,737449.0,131072.0,brain & WLS_valid,0.8607032949218104,0.5798967670834525,82,136.23636555671692,737449,200
112920,True,,0.47452091308120564,0.5056926423713265,0.18338099776154693,0.00036510870981488493,0.0005578815208575176,0.3824838002726977,0.0003188433484898985,0.0005213795080855667,0.34507173607972585,0.000448293089278494,0.0006256333940813931,0.40447676302269975,609.2232820585178,0.18047707972230168,947861.0,131072.0,brain & WLS_valid,1.0169978388906296,0.815069701426245,57,170.42264533042908,947861,200
114116,False,index 72 is out of bounds for axis 3 with size 72,,,,,,,,,,,,,,,,,,,,,,,
114419,True,,0.44468863295175937,0.4824796600838601,0.1735945192460212,0.0005173033091860976,0.0023411756281467733,0.42594593087644317,0.000785235371512553,0.004817880935431793,0.3975605565581952,0.0004442567265017396,0.0013018225696291154,0.3693610957161066,518.2234099638022,0.12239098021249734,923360.0,131072.0,brain & WLS_valid,1.036438946867675,0.7815045024375472,199,163.8746693134308,923360,200
115825,True,,0.14915047200305212,0.20770847250859142,0.47817889600099955,0.0001950433130906047,0.00034878299849606546,0.7394391360580151,0.00028061354282194856,0.00042326550360325066,0.7037315534627026,0.00021813633069633505,0.0003504605282234583,0.7384509891686765,413.7349355762262,0.06308456780214655,780336.0,131072.0,brain & WLS_valid,1.025656494843476,0.6025372570897428,178,144.87691974639893,780336,200
116726,True,,0.4811855801069118,0.5131168011622095,-0.04074830205886695,0.00045565488706488693,0.0007048127802212621,0.37630376801447135,0.00042380857422391946,0.0006374508562561813,0.3423508481780223,0.0005341537399013006,0.0007831598678647739,0.3771545719913045,811.0273289995124,0.24592356518047132,786932.0,131072.0,brain & WLS_valid,0.6286845763112597,0.4517296063737857,25,137.49322247505188,786932,200
120717,True,,0.15309561159650345,0.21291190152736272,0.40640689221083653,0.00019951477077895615,0.0003595617701748226,0.7650552589673907,0.0002960156438569621,0.0004457922506141238,0.7274026343224059,0.00022107021178823763,0.00035799154688510566,0.7630122454171423,339.36743711953704,0.05626025452407782,784248.0,131072.0,brain & WLS_valid,0.43053755863608484,0.31418807071167976,145,143.9817705154419,784248,200
121618,True,,0.16091891037055522,0.22825718936325487,0.31099182756617705,0.00022420197451139545,0.0003906285178280583,0.6199184065328611,0.0003061673643250751,0.00046456186949089676,0.5740269370231382,0.000252190480393863,0.000394125711868118,0.6209210960441701,421.77365194342445,0.08411250054972616,826775.0,131072.0,brain & WLS_valid,0.9165356609103555,0.5753250353517804,171,142.76884365081787,826775,200
122418,True,,0.16348843757619969,0.22396431613721623,0.3588533961018684,0.00017774730001216083,0.00033966847418916363,0.6373916094257696,0.0002794546867261744,0.00043930083420169454,0.5582464946345872,0.0002076819034883711,0.00034272316221136323,0.6381805343249882,321.45314074381355,0.0569232189887586,766180.0,131072.0,brain & WLS_valid,0.49484920912877994,0.3430062015243667,119,134.01986861228943,766180,200
123925,True,,0.1565610721477408,0.22059872608805453,0.3850812240630248,0.00018031164740116298,0.00031899422270491534,0.7572056045318015,0.0002747216566147908,0.0003995367620185014,0.7112321656526406,0.000204525720726039,0.00032387624319605267,0.7529394228423655,323.59130741779126,0.05830119025272085,685494.0,131072.0,brain & WLS_valid,0.35483986566153664,0.26972665502468035,177,116.93452978134155,685494,200
124422,True,,0.47077429714695374,0.5062535047997179,0.07139496849139612,0.0004389409663694114,0.0006853312314665056,0.30028576936462315,0.00040010610163058704,0.0006277514733036062,0.29299474199674,0.0005004530169997214,0.0007423866914588388,0.29618500308578477,763.1480331276385,0.22959215182030016,731407.0,131072.0,brain & WLS_valid,0.2511405707571094,0.19243867591273187,27,126.5147705078125,731407,200
124624,True,,0.16615649153563036,0.23252148394019556,0.2795914408342937,0.00023748139771789933,0.00043180655242559953,0.6280805431033395,0.0003232683463683663,0.0005102321391485403,0.5857863952336291,0.00026625395936900496,0.0004300610988975559,0.6319052368935144,442.8102922426027,0.08558421353107386,791245.0,131072.0,brain & WLS_valid,0.6597888212094141,0.3311078863448857,85,142.89465045928955,791245,200
129937,True,,0.15010309623865767,0.21334869272412216,0.42020983415279767,0.0002215221723334008,0.0003786076907909208,0.7626506421247322,0.00030919228515392176,0.00045570003053714157,0.7241046445508239,0.00023990752515030058,0.0003782075643588232,0.7624533629376192,366.34575711485127,0.0672352345548647,757597.0,131072.0,brain & WLS_valid,1.056756123487611,0.6106663009000791,198,131.4906873703003,757597,200
130316,True,,0.1623704420370359,0.2255222648566071,0.3527577111013638,0.0002018136262673476,0.0003691023056993022,0.6741967839361622,0.00030521106888675665,0.000483277139589137,0.5673785117097276,0.00022290834910006335,0.0003662010379998086,0.6790569672814357,384.0765736504164,0.07251617823094424,787734.0,131072.0,brain & WLS_valid,0.327023735173394,0.25558391075407594,115,143.4397451877594,787734,200
130518,True,,0.16116385116939366,0.22373192690762814,0.37260652973231795,0.00022507504692252886,0.0004126894469509797,0.6223355421125917,0.0003191607007227861,0.0004910307785079133,0.5836555305440144,0.00024460070836630413,0.00040934589206481284,0.6263964547442615,374.7570999629497,0.08068636679777207,679959.0,131072.0,brain & WLS_valid,1.3115298599004745,0.9691991712898016,128,118.02201962471008,679959,200
130720,True,,0.4808981327531291,0.5110846958421986,0.3724582881664787,0.0003575709304984573,0.0005342363981445384,0.6533341553829943,0.0003105747581911455,0.0004579552892324436,0.6096958096812517,0.00044721265739079897,0.0006301117124687778,0.6618972123359134,641.551510095582,0.1736235443765392,856089.0,131072.0,brain & WLS_valid,0.5392105150258257,0.2621914196759462,76,153.186048746109,856089,200
130922,False,index 72 is out of bounds for axis 3 with size 72,,,,,,,,,,,,,,,,,,,,,,,
131217,True,,0.1732613979677662,0.24432334193392252,0.20211003467012528,0.00022012808236512334,0.0004005171784424007,0.6725200969428443,0.0003276559037441019,0.0005555239121709665,0.5123866486294519,0.0002496937494521177,0.00039500060621417766,0.6897895457579359,425.0840094963895,0.08213229036846711,751792.0,131072.0,brain & WLS_valid,0.29576161218321195,0.15289991317600335,176,132.79543447494507,751792,200
